Notes,Assessment,Evidence
Video,3,Video link: www.youtube.com/watch?v=-P3LxID5QzA
Workload is spread over the whole team (One team member is often X-times more productive than the others...),1,1 person has contributed the most. Contribution: https://github.com/rliu9/cheapBuy/graphs/contributors
"but nevertheless, here is a track record that everyone is contributing a lot)",1,1 person has contributed the most. Contribution: https://github.com/rliu9/cheapBuy/graphs/contributors
Number of commits,3,37 commits by the team
Number of commits: by different people,1,"Rundi Liu:26,  zhijin44:6, vividyu:2, Haoqu Ma:2, Joshua Lin:1"
Issues reports: there are many,3,14 issues: https://github.com/rliu9/cheapBuy/issues
Issues are being closed,2,11 issues closed: https://github.com/rliu9/cheapBuy/issues
DOI badge: exists,3,https://doi.org/10.5281/zenodo.5645496
"Docs: doco generated, format not ugly",2,Some links and images are broken
Docs: what: point descriptions of each class/function (in isolation),3,Description doc file: https://github.com/rliu9/cheapBuy/blob/main/docs/Code%20Description.pdf
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",2,"Doc available (https://github.com/rliu9/cheapBuy/blob/main/docs/Improvements.md and https://github.com/rliu9/cheapBuy/blob/main/docs/use_cases.md), but some images are broken"
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",2,https://github.com/rliu9/cheapBuy/blob/main/README.md and https://github.com/rliu9/cheapBuy/blob/main/docs/Improvements.md
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,GIFs are used to show the uses: https://github.com/rliu9/cheapBuy/blob/main/README.md
Use of version control tools,3,Project is stored in GitHub: https://github.com/rliu9/cheapBuy/
Use of style checkers,3,style checker: https://github.com/rliu9/cheapBuy/blob/main/.github/workflows/style_checker.yml
Use of code formatters.,3,code formatters: https://github.com/rliu9/cheapBuy/blob/main/.github/workflows/code_formatter.yml
Use of syntax checkers.,3,syntax checkers: https://github.com/rliu9/cheapBuy/blob/main/.github/workflows/code_formatter.yml
Use of code coverage,3,Code coverage :100% https://app.codecov.io/gh/anshulp2912/cheapBuy
Other automated analysis tools,0,No other automated analysis tool used
Test cases exist,3,Test cases: https://github.com/rliu9/cheapBuy/tree/main/test
Test cases are routinely executed,3,Tests are routinely executed: https://app.travis-ci.com/github/anshulp2912/cheapBuy/builds
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,Provides a brief details on Contributing: https://github.com/rliu9/cheapBuy/blob/main/CONTRIBUTING.md
Issues are discussed before they are closed,2,Issues are discussed before closing them: https://github.com/rliu9/cheapBuy/issues?q=is%3Aissue+is%3Aclosed
Chat channel: exists,0,No known channel exist
Test cases: a large proportion of the issues related to handling failing cases.,1,Only a few issues on bugs and test cases
Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,Whole team is using python and same dependencies: https://github.com/rliu9/cheapBuy/blob/main/requirements.txt
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,The tools are run by workflows: https://github.com/rliu9/cheapBuy/tree/main/.github/workflows
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,The tools are run by workflows: https://github.com/rliu9/cheapBuy/tree/main/.github/workflows
Evidence that the members of the team are working across multiple places in the code base,1,Only 1 member is working on multiple places: https://github.com/rliu9/cheapBuy/commits/main
Short release cycles,1,Only 1 releases: https://github.com/rliu9/cheapBuy/releases
,,
Q1 - What your software does,,
1.1) Does your website and documentation provide a clear high-level overview of your software?,yes,Doc: https://github.com/rliu9/cheapBuy/blob/main/README.md
1.2) Does your website and documentation clearly describe the type of user who should use your software?,yes,
1.3) Do you publish case studies to show how your software has been used by yourself and others?,yes,
Q2 - Your project's and software's identity,,
2.1) Is the name of your project/software unique?,yes,
2.2) Is your project/software name free from trademark violations?,yes,
Q3 - Availability of your software,,
3.1) Is your software available as a package that can be deployed without building it?,no,No binaries available
3.2) Is your software available for free?,yes,MIT licence
3.3) Is your source code publicly available to download either as a downloadable bundle or via access to a source code repository?,yes,Hosted in GitHub
3.4) Is your software hosted in an established third-party repository third-party repository like GitHub,yes,https://github.com/rliu9/cheapBuy
Q4 - Your software's documentation,,
4.1) Is your documentation clearly available on your website or within your software?,yes,
4.2) Does your documentation include a quick start guide that provides a short overview of how to use your software with some basic examples of use?,yes,
